participant2,recording,chunk,block,part,length,confidence,happy,sooth,love,exaggerate,nat_inf_label2,duration2
TSMA11,3026,chunk4,FA1,1937561-1939172,1.611,2,2,0,1,2,C,19
TSMA11,3026,chunk40,FA1,32554839-32555510,0.671,2,0,2,2,0,C,11
TSMA11,3026,chunk40,FA1,32560745-32561244,0.499,2,0,1,0,1,A,15
TSMA11,3026,chunk42,FA1,32681267-32682600,1.333,2,1,0,0,1,C,11
TSMA11,8787,chunk47,FA2,28186905-28188000,1.095,3,3,0,3,4,T,14
TSMA11,2109,chunk5,FA1,4030674-4030807,0.133,2,2,0,0,2,T,17
TSMA11,2109,chunk6,FA1,4095542-4095903,0.361,3,0,2,1,0,T,18
TSMA11,2109,chunk6,FA1,4098584-4098812,0.228,3,3,0,2,2,T,14
TSMA11,2109,chunk6,FA1,4102388-4102896,0.508,3,2,2,2,2,T,20
TSMA11,2109,chunk6,FA1,4104430-4104798,0.368,2,1,1,1,0,T,32
TSMA11,2109,chunk6,FA1,4127990-4129054,1.064,1,1,0,0,2,T,31
TSMA11,2109,chunk6,FA1,4137008-4137831,0.823,2,0,2,2,0,T,34
TSMA11,2109,chunk7,FA1,4184903-4185702,0.799,3,2,0,0,0,T,20
TSMA11,2109,chunk8,FA1,4328280-4328639,0.359,3,0,0,1,0,T,12
TSMA11,2109,chunk8,FA1,4328834-4329069,0.235,2,0,0,0,0,T,12
TSMA11,2109,chunk8,FA1,4331305-4331502,0.197,3,0,2,2,0,T,15
TSMA11,2109,chunk8,FA1,4338665-4338989,0.324,1,1,1,1,1,T,16
TSMA11,2109,chunk8,FA1,4344579-4344940,0.361,3,2,0,1,3,T,17
TSMA11,2109,chunk8,FA1,4346605-4346841,0.236,3,2,0,1,2,T,21
TSMA11,2109,chunk8,FA1,4347224-4347914,0.69,2,1,0,1,0,T,20
TSMA11,2109,chunk8,FA1,4370749-4371725,0.976,2,3,0,1,3,T,17
TSMA12,643,chunk1,FA1,1970580-1971675,1.095,4,0,1,0,0,C,10
TSMA12,643,chunk11,FA1,11130100-11130710,0.61,4,0,0,0,0,T,11
TSMA12,643,chunk11,FA1,11135799-11136280,0.481,4,0,1,0,0,T,10
TSMA12,643,chunk13,FA1,11276259-11276870,0.611,4,1,0,0,0,T,21
TSMA12,643,chunk13,FA1,11278211-11279081,0.87,4,1,1,0,0,T,18
TSMA12,643,chunk13,FA1,11280553-11281555,1.002,4,0,0,0,0,T,9
TSMA12,643,chunk13,FA1,11283035-11283520,0.485,4,0,1,0,0,T,10
TSMA12,643,chunk13,FA1,11288834-11290778,1.944,3,0,0,0,0,T,9
TSMA12,643,chunk13,FA1,11291655-11293667,2.012,4,0,0,0,0,T,11
