participant,ID,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label,duration
TSMD11,11,2109,chunk22,FA1,22910806-22912224,1.418,ads,4,T,2
TSMD11,11,2109,chunk22,FA1,22913178-22916060,2.882,cds,3,T,3
TSMD11,11,2109,chunk22,FA1,22922720-22923548,0.828,cds,3,T,2
TSMD11,11,2109,chunk24,FA1,24357316-24357612,0.296,cds,0,T,4
TSMD11,11,2109,chunk25,FA1,24596984-24597664,0.68,ads,0,T,5
TSMD11,11,2109,chunk25,FA1,24619425-24619972,0.547,cds,0,T,4
TSMD11,11,2109,chunk26,FA1,25228708-25229502,0.794,ads,0,T,3
TSMD11,11,2109,chunk26,FA1,25232574-25232876,0.302,ads,0,T,5
TSMD11,11,2109,chunk26,FA1,25249904-25250976,1.072,ads,0,T,3
TSMD11,11,2109,chunk28,FA1,29290304-29290976,0.672,ads,0,T,1
TSMD11,11,2109,chunk28,FA1,29295990-29296388,0.398,ads,0,T,4
TSMD11,11,2109,chunk3,FA1,3673484-3676022,2.538,ads,4,T,3
TSMD11,11,2109,chunk3,FA1,3676723-3677069,0.346,cds,0,T,2
TSMD11,11,2109,chunk31,FA1,30760496-30760800,0.304,cds,0,T,3
TSMD11,11,2109,chunk31,FA1,30768460-30768992,0.532,ads,0,T,2
TSMD11,11,2109,chunk32,FA1,31660680-31660968,0.288,ads,0,T,2
TSMD11,11,2109,chunk32,FA1,31670300-31670760,0.46,cds,0,T,3
TSMD11,11,2109,chunk5,FA1,4030674-4030807,0.133,cds,0,T,2
TSMD11,11,2109,chunk6,FA1,4095542-4095903,0.361,cds,2,T,4
TSMD11,11,2109,chunk6,FA1,4098584-4098812,0.228,ads,3,T,3
TSMD11,11,2109,chunk6,FA1,4102388-4102896,0.508,ads,4,T,3
TSMD11,11,2109,chunk6,FA1,4104430-4104798,0.368,ads,4,T,2
TSMD11,11,2109,chunk6,FA1,4127990-4129054,1.064,cds,1,T,3
TSMD11,11,2109,chunk6,FA1,4132669-4133090,0.421,cds,2,T,3
TSMD11,11,2109,chunk6,FA1,4137008-4137831,0.823,ads,3,T,2
TSMD11,11,2109,chunk7,FA1,4184903-4185702,0.799,cds,2,T,2
TSMD11,11,2109,chunk8,FA1,4328280-4328639,0.359,cds,1,T,2
TSMD11,11,2109,chunk8,FA1,4328834-4329069,0.235,cds,4,T,2
TSMD11,11,2109,chunk8,FA1,4331305-4331502,0.197,ads,3,T,2
TSMD11,11,2109,chunk8,FA1,4338665-4338989,0.324,ads,0,T,2
TSMD11,11,2109,chunk8,FA1,4344579-4344940,0.361,ads,3,T,2
TSMD11,11,2109,chunk8,FA1,4346605-4346841,0.236,ads,2,T,2
TSMD11,11,2109,chunk8,FA1,4347224-4347914,0.69,ads,4,T,4
TSMD11,11,2109,chunk8,FA1,4370749-4371725,0.976,ads,2,T,3
TSMD11,11,3026,chunk1,FA1,1725530-1728100,2.57,cds,2,T,4
TSMD11,11,3026,chunk10,FA1,5749130-5750280,1.15,cds,3,T,4
TSMD11,11,3026,chunk11,FA1,5815842-5816239,0.397,ads,0,T,3
TSMD11,11,3026,chunk11,FA1,5830066-5830586,0.52,ads,4,T,6
TSMD11,11,3026,chunk11,FA1,5836985-5837401,0.416,ads,3,T,4
TSMD11,11,3026,chunk12,FA1,5890449-5891500,1.051,cds,0,T,4
TSMD11,11,3026,chunk14,FA1,8926110-8927480,1.37,ads,1,T,4
TSMD11,11,3026,chunk15,FA1,8982657-8983773,1.116,ads,3,T,5
TSMD11,11,3026,chunk15,FA1,8984620-8985943,1.323,ads,4,T,5
TSMD11,11,3026,chunk19,FA1,13578840-13579290,0.45,cds,2,T,4
TSMD11,11,3026,chunk20,FA1,15454646-15455780,1.134,ads,2,T,4
TSMD11,11,3026,chunk22,FA1,17050830-17051630,0.8,cds,0,T,3
TSMD11,11,3026,chunk22,FA1,17053090-17053610,0.52,ads,2,T,4
TSMD11,11,3026,chunk24,FA1,17218110-17220010,1.9,ads,2,T,6
TSMD11,11,3026,chunk27,FA1,29288558-29289409,0.851,ads,4,T,6
TSMD11,11,3026,chunk29,FA1,29389847-29393064,3.217,cds,3,C,7
TSMD11,11,3026,chunk4,FA1,1937561-1939172,1.611,cds,0,C,3
TSMD11,11,3026,chunk40,FA1,32554839-32555510,0.671,ads,1,C,4
TSMD11,11,3026,chunk40,FA1,32560745-32561244,0.499,ads,3,A,3
TSMD11,11,3026,chunk42,FA1,32681267-32682600,1.333,ads,3,C,4
TSMD11,11,8787,chunk12,FA2,9057065-9057565,0.5,cds,4,T,4
TSMD11,11,8787,chunk12,FA2,9088700-9089200,0.5,cds,1,T,4
TSMD11,11,8787,chunk13,FA2,9132966-9133988,1.022,ads,2,T,5
TSMD11,11,8787,chunk13,FA2,9143766-9144855,1.089,cds,3,T,4
TSMD11,11,8787,chunk14,FA2,9183157-9184142,0.985,cds,2,T,6
TSMD11,11,8787,chunk14,FA2,9202608-9205123,2.515,ads,4,A,3
TSMD11,11,8787,chunk17,FA2,9390142-9390804,0.662,ads,2,T,6
TSMD11,11,8787,chunk18,FA2,9500970-9501470,0.5,ads,4,T,5
TSMD11,11,8787,chunk18,FA2,9526050-9526600,0.55,ads,2,T,3
TSMD11,11,8787,chunk20,FA1,14545620-14546254,0.634,cds,3,C,3
TSMD11,11,8787,chunk21,FA1,14601533-14601986,0.453,ads,3,C,5
TSMD11,11,8787,chunk21,FA1,14654466-14654861,0.395,cds,2,C,4
TSMD11,11,8787,chunk27,FA1,15247140-15247970,0.83,cds,3,T,5
TSMD11,11,8787,chunk27,FA1,15261275-15261815,0.54,cds,1,T,5
TSMD11,11,8787,chunk30,FA2,19405200-19407670,2.47,ads,4,T,5
TSMD11,11,8787,chunk30,FA2,19437965-19438269,0.304,ads,4,T,4
TSMD11,11,8787,chunk31,FA2,19487165-19487565,0.4,cds,2,T,4
TSMD11,11,8787,chunk32,FA2,19515289-19516639,1.35,cds,2,A,5
TSMD11,11,8787,chunk32,FA2,19535129-19537143,2.014,cds,4,C,4
TSMD11,11,8787,chunk32,FA2,19543969-19547395,3.426,cds,1,C,8
TSMD11,11,8787,chunk37,FA1,25568287-25570482,2.195,ads,3,C,3
TSMD11,11,8787,chunk38,FA1,25684779-25685401,0.622,cds,1,A,4
TSMD11,11,8787,chunk38,FA1,25687416-25688388,0.972,ads,3,A,5
TSMD11,11,8787,chunk47,FA2,28186905-28188000,1.095,cds,4,T,4
TSMD12,12,6216,chunk1,FA1,896410-897570,1.16,cds,1,T,44
TSMD12,12,6216,chunk1,FA1,903695-906725,3.03,ads,1,T,17
TSMD12,12,6216,chunk1,FA1,921780-923340,1.56,cds,3,T,19
TSMD12,12,6216,chunk12,FA1,6383249-6383509,0.26,ads,2,T,6
TSMD12,12,6216,chunk12,FA1,6393264-6394664,1.4,cds,3,T,5
TSMD12,12,6216,chunk12,FA1,6441319-6443908,2.589,ads,1,T,8
TSMD12,12,6216,chunk14,FA1,6527624-6528366,0.742,ads,1,T,5
TSMD12,12,6216,chunk14,FA1,6531076-6532705,1.629,cds,1,T,8
TSMD12,12,6216,chunk14,FA4,6554480-6554900,0.42,cds,3,A,6
TSMD12,12,6216,chunk15,FA1,6611372-6612953,1.581,ads,1,A,5
TSMD12,12,6216,chunk19,FA1,7598640-7599983,1.343,ads,2,T,7
TSMD12,12,6216,chunk2,FA1,1571982-1572568,0.586,cds,1,T,14
TSMD12,12,6216,chunk2,FA1,1593641-1594978,1.337,cds,3,T,8
TSMD12,12,6216,chunk22,FA1,8899420-8900240,0.82,cds,2,T,6
TSMD12,12,6216,chunk22,FA1,8925155-8925855,0.7,cds,3,T,8
TSMD12,12,6216,chunk23,FA1,13959689-13960788,1.099,cds,3,A,4
TSMD12,12,6216,chunk25,FA1,14149402-14152358,2.956,ads,2,A,6
TSMD12,12,6216,chunk26,FA1,14203533-14205168,1.635,ads,1,A,5
TSMD12,12,6216,chunk27,FA1,16611490-16612680,1.19,ads,2,T,7
TSMD12,12,6216,chunk28,FA1,17832815-17833135,0.32,cds,1,T,3
TSMD12,12,6216,chunk28,FA1,17847385-17848000,0.615,ads,1,T,5
TSMD12,12,6216,chunk39,FA1,24007921-24008439,0.518,cds,1,T,4
TSMD12,12,6216,chunk40,FA3,24044935-24045985,1.05,ads,3,T,5
TSMD12,12,6216,chunk40,FA4,24079694-24080525,0.831,ads,2,A,4
TSMD12,12,6216,chunk44,FA1,27346765-27347395,0.63,cds,2,T,5
TSMD12,12,6216,chunk46,FA1,29105449-29105838,0.389,cds,3,A,6
TSMD12,12,6216,chunk5,FA1,1856421-1857458,1.037,cds,3,T,6
TSMD12,12,6216,chunk6,FA1,3379906-3381336,1.43,cds,4,T,6
TSMD12,12,6216,chunk6,FA1,3416695-3417536,0.841,cds,2,T,6
TSMD12,12,6216,chunk6,FA1,3418508-3419292,0.784,cds,1,T,3
TSMD12,12,6216,chunk8,FA1,3515940-3516796,0.856,ads,1,T,5
TSMD12,12,7326,chunk2,FA2,3901270-3902450,1.18,cds,1,A,10
TSMD12,12,7326,chunk23,FA1,14995127-14996124,0.997,cds,2,T,10
TSMD12,12,7326,chunk24,FA1,15047442-15048349,0.907,ads,2,T,7
TSMD12,12,7326,chunk24,FA1,15076500-15078229,1.729,cds,3,T,7
TSMD12,12,7326,chunk24,FA1,15079106-15079778,0.672,cds,2,T,6
TSMD12,12,7326,chunk24,FA1,15085418-15086016,0.598,cds,1,T,4
TSMD12,12,7326,chunk24,FA1,15088057-15088786,0.729,cds,2,T,4
TSMD12,12,7326,chunk24,FA1,15089434-15090934,1.5,cds,3,T,3
TSMD12,12,7326,chunk25,FA1,15114549-15114909,0.36,cds,1,T,3
TSMD12,12,7326,chunk25,FA1,15122295-15122754,0.459,cds,1,T,3
TSMD12,12,7326,chunk26,FA1,18388405-18388981,0.576,cds,1,T,3
TSMD12,12,7326,chunk26,FA1,18395713-18397176,1.463,ads,1,T,4
TSMD12,12,7326,chunk26,FA1,18399092-18399692,0.6,cds,1,T,4
TSMD12,12,7326,chunk26,FA1,18402613-18403959,1.346,ads,1,T,4
TSMD12,12,7326,chunk26,FA1,18405145-18405655,0.51,cds,1,T,3
TSMD12,12,7326,chunk26,FA1,18409602-18410719,1.117,cds,1,T,3
TSMD12,12,7326,chunk26,FA1,18412204-18413393,1.189,cds,2,T,4
TSMD12,12,7326,chunk26,FA1,18422117-18422730,0.613,cds,1,T,2
TSMD12,12,7326,chunk26,FA1,18423398-18423828,0.43,cds,1,T,2
