participant,group,clip,clip_length,rater_Label,confidence,background_noise,happy,angry,sad,sooth,love,exaggerated,clear,nat_inf_label,recorded_child,rating_duration,rater_labeln,nat_inf_labeln
SUB10,group_4,130715-132195,1480,cds,0,-2,3,1,1,2,3,2,1,I,Vihan,36,0,0
SUB10,group_4,239860-241153,1293,cds,0,-2,0,1,4,1,1,2,2,I,Ali,31,0,0
SUB10,group_4,200690-202030,1340,cds,0,-2,1,1,4,2,2,1,2,I,Melorin,25,0,0
SUB10,group_4,3570-4590,1020,ads,0,-2,1,2,3,3,2,2,1,A,Vihan,34,1,1
SUB10,group_4,185650-186620,970,ads,0,-2,2,2,1,1,2,2,2,I,Vihan,29,1,0
SUB10,group_4,118855-120925,2070,cds,0,-2,4,1,2,4,4,4,2,I,Vihan,21,0,0
SUB10,group_4,65240-66340,1100,ads,0,-2,1,0,0,2,2,1,1,A,Melorin,23,1,1
SUB10,group_4,226525-227785,1260,ads,0,-2,2,2,2,2,2,2,2,A,Vihan,21,1,1
SUB10,group_4,75530-77670,2140,cds,0,-2,3,0,0,3,3,2,2,I,Ali,52,0,0
SUB10,group_4,10690-11360,670,cds,0,-2,3,0,0,3,3,3,2,A,Danial,30,0,1
SUB10,group_4,228315-230075,1760,ads,0,-2,3,1,1,4,4,4,1,I,Vihan,16,1,0
SUB10,group_4,194985-195545,560,cds,0,-2,2,2,1,2,2,2,0,I,Vihan,27,0,0
SUB10,group_4,45655-47335,1680,ads,0,-2,3,0,0,1,1,2,2,A,Niki,26,1,1
SUB10,group_4,136530-137070,540,cds,0,-2,2,0,3,0,0,2,0,A,Melorin,34,0,1
SUB10,group_4,196160-196950,790,cds,0,-2,3,1,3,1,1,2,2,A,Diana,26,0,1
SUB10,group_4,117005-117835,830,cds,0,-2,3,2,1,3,3,2,2,A,Melorin,53,0,1
SUB10,group_4,231215-233545,2330,cds,0,-2,4,0,1,3,3,2,3,A,Mahan,20,0,1
SUB10,group_4,263685-264385,700,cds,0,-2,2,2,2,2,2,2,0,A,Vihan,35,0,1
SUB10,group_4,264805-266705,1900,cds,0,-2,3,0,1,4,4,1,2,I,Mahan,23,0,0
SUB10,group_4,164578-166541,1963,cds,0,-2,4,0,2,4,4,4,3,I,Illia,20,0,0
SUB10,group_4,244047-244652,605,cds,0,-2,3,2,2,3,3,1,1,I,Diana,60,0,0
SUB10,group_4,186835-188855,2020,cds,0,-2,4,2,2,2,4,2,2,A,Diana,20,0,1
SUB10,group_4,24855-26755,1900,ads,0,-2,2,2,2,2,2,2,2,A,Mahan,20,1,1
SUB10,group_4,40150-41450,1300,cds,0,-2,3,0,0,2,4,4,2,I,Niki,23,0,0
SUB10,group_4,171495-173855,2360,cds,0,-2,1,2,3,1,1,2,2,A,Mahan,32,0,1
SUB10,group_4,250790-251530,740,ads,0,-2,2,2,2,2,2,2,0,A,Vihan,47,1,1
SUB10,group_4,290994-291931,937,cds,0,-2,2,2,2,2,2,2,2,I,Illia,12,0,0
SUB10,group_4,266433-267193,760,cds,0,-2,2,0,1,4,3,2,2,I,Ali,30,0,0
SUB10,group_4,69015-70265,1250,cds,0,-2,3,2,2,4,4,3,2,I,Diana,25,0,0
SUB10,group_4,166900-167980,1080,cds,0,-2,1,1,3,2,1,2,2,I,Melorin,57,0,0
SUB10,group_4,54235-55285,1050,ads,0,-2,2,2,2,2,2,2,0,I,Vihan,31,1,0
SUB10,group_4,134630-136940,2310,cds,0,-2,4,2,0,4,4,4,2,I,Mahan,17,0,0
SUB10,group_4,129120-133970,4850,cds,0,-2,4,0,0,0,3,2,3,A,Ali,29,0,1
SUB10,group_4,178270-179406,1136,cds,0,-2,3,1,2,4,4,2,2,I,Niki,25,0,0
SUB10,group_4,81092-81766,674,cds,0,-2,2,2,2,3,3,2,2,I,Danial,19,0,0
SUB10,group_4,285737-286692,955,cds,0,-2,3,1,1,2,2,3,2,I,Illia,46,0,0
SUB10,group_4,219840-220970,1130,ads,0,-2,1,3,1,1,1,1,1,A,Vihan,46,1,1
SUB10,group_4,58540-61130,2590,cds,0,-2,2,2,2,2,2,2,1,A,Melorin,22,0,1
