ID,recording,part,participant,chunk.x,block.x,length.x,rater_label,confidence.x,nat_inf_label,duration,participant2,chunk.y,block.y,length.y,confidence.y,happy,sooth,love,exaggerate,nat_inf_label2,duration2
10,643,26567156-26567672,TSMD10,chunk40,FA2,0.516,cds,3,C,5,TSMA10,chunk40,FA2,0.516,1,1,3,1,1,C,10
10,643,26574169-26574780,TSMD10,chunk40,FA2,0.611,ads,3,C,4,TSMA10,chunk40,FA2,0.611,1,1,3,2,0,C,19
10,643,26592052-26592956,TSMD10,chunk40,FA2,0.904,ads,3,C,3,TSMA10,chunk40,FA2,0.904,4,0,0,2,2,C,8
10,643,26594990-26596112,TSMD10,chunk40,FA2,1.122,ads,4,C,6,TSMA10,chunk40,FA2,1.122,4,0,0,0,2,C,8
10,643,26597940-26598376,TSMD10,chunk40,FA2,0.436,cds,3,C,8,TSMA10,chunk40,FA2,0.436,0,0,0,0,0,C,8
10,643,26605792-26606719,TSMD10,chunk40,FA2,0.927,ads,4,C,5,TSMA10,chunk40,FA2,0.927,0,0,0,0,2,C,9
10,643,26653844-26655408,TSMD10,chunk41,FA2,1.564,ads,3,C,6,TSMA10,chunk41,FA2,1.564,2,0,2,0,0,C,10
10,643,26688700-26690145,TSMD10,chunk42,FA2,1.445,cds,4,C,5,TSMA10,chunk42,FA2,1.445,4,0,0,0,0,C,8
10,643,26705730-26706392,TSMD10,chunk42,FA2,0.662,ads,3,C,5,TSMA10,chunk42,FA2,0.662,3,0,0,0,2,C,12
10,643,26765672-26766716,TSMD10,chunk43,FA2,1.044,cds,2,C,6,TSMA10,chunk43,FA2,1.044,4,2,0,0,2,C,14
10,643,26774544-26775095,TSMD10,chunk43,FA2,0.551,cds,3,T,5,TSMA10,chunk43,FA2,0.551,1,0,0,0,0,T,11
10,643,26776314-26776764,TSMD10,chunk43,FA2,0.45,cds,3,T,6,TSMA10,chunk43,FA2,0.45,2,0,0,2,0,T,12
10,643,26875950-26876216,TSMD10,chunk44,FA2,0.266,cds,4,T,6,TSMA10,chunk44,FA2,0.266,1,0,0,0,0,T,10
