Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
09:53:08 27Jan2020,TSMD10,7220,chunk51,FA4,30641566-30642573,1.007,cds,3,A,5,None
09:53:01 27Jan2020,TSMD10,7220,chunk51,FA4,30631976-30632598,0.622,cds,3,A,4,None
09:53:21 27Jan2020,TSMD10,7220,chunk51,FA4,30646015-30648287,2.272,cds,3,A,6,None
09:52:39 27Jan2020,TSMD10,7220,chunk50,FA1,30484060-30484490,0.43,cds,2,T,7,None
09:55:08 27Jan2020,TSMD10,0643,chunk39,FA2,26530416-26532096,1.68,cds,4,T,5,None
09:55:15 27Jan2020,TSMD10,0643,chunk39,FA2,26551008-26551304,0.296,cds,3,C,5,None
09:45:02 27Jan2020,TSMD10,0643,chunk13,FA1,11278211-11279081,0.87,cds,2,T,11,None
09:45:30 27Jan2020,TSMD10,0643,chunk13,FA1,11283035-11283520,0.485,ads,2,T,17,None
09:45:46 27Jan2020,TSMD10,0643,chunk13,FA1,11288834-11290778,1.944,ads,3,T,14,None
09:45:57 27Jan2020,TSMD10,0643,chunk13,FA1,11291655-11293667,2.012,ads,2,T,9,None
09:44:50 27Jan2020,TSMD10,0643,chunk13,FA1,11276259-11276870,0.611,ads,2,T,8,None
09:45:10 27Jan2020,TSMD10,0643,chunk13,FA1,11280553-11281555,1.002,cds,3,T,5,None
09:44:37 27Jan2020,TSMD10,0643,chunk11,FA1,11135799-11136280,0.481,cds,3,T,7,None
09:44:28 27Jan2020,TSMD10,0643,chunk11,FA1,11130100-11130710,0.61,cds,4,T,6,None
09:47:15 27Jan2020,TSMD10,0643,chunk17,FA2,14258333-14259264,0.931,ads,3,C,9,None
09:46:50 27Jan2020,TSMD10,0643,chunk16,FA1,11450262-11451442,1.18,ads,3,T,9,None
09:47:01 27Jan2020,TSMD10,0643,chunk16,FA1,11460013-11460782,0.769,cds,2,T,9,None
09:46:33 27Jan2020,TSMD10,0643,chunk15,FA1,11402131-11403831,1.7,ads,4,C,7,None
09:46:23 27Jan2020,TSMD10,0643,chunk15,FA1,11395987-11397225,1.238,ads,3,C,10,None
09:47:31 27Jan2020,TSMD10,0643,chunk19,FA2,14331953-14335836,3.883,ads,4,C,9,None
09:49:07 27Jan2020,TSMD10,0643,chunk36,FA2,21448917-21449845,0.928,cds,2,A,4,None
09:48:50 27Jan2020,TSMD10,0643,chunk30,FA1,20518422-20520287,1.865,cds,2,C,8,None
09:48:59 27Jan2020,TSMD10,0643,chunk32,FA1,20648000-20648686,0.686,cds,3,C,5,None
09:43:29 27Jan2020,TSMD10,0643,chunk4,FA1,2151402-2152381,0.979,cds,2,C,18,None
09:43:44 27Jan2020,TSMD10,0643,chunk4,FA1,2175929-2177029,1.1,ads,2,C,13,None
09:58:50 27Jan2020,TSMD10,0643,chunk51,FA1,30552436-30554260,1.824,ads,3,A,5,None
09:58:44 27Jan2020,TSMD10,0643,chunk51,FA1,30536680-30539238,2.558,cds,3,A,6,None
09:58:56 27Jan2020,TSMD10,0643,chunk51,FA1,30555748-30556070,0.322,cds,3,A,5,None
09:58:34 27Jan2020,TSMD10,0643,chunk50,FA1,29955716-29956736,1.02,ads,3,A,8,None
09:44:17 27Jan2020,TSMD10,0643,chunk9,FA2,5197156-5197796,0.64,cds,4,T,11,None
09:42:49 27Jan2020,TSMD10,0643,chunk2,FA1,2016491-2017690,1.199,cds,3,C,13,None
09:43:02 27Jan2020,TSMD10,0643,chunk2,FA1,2059578-2060477,0.899,ads,2,C,9,None
09:40:30 27Jan2020,TSMD10,0643,chunk1,FA1,1970580-1971675,1.095,ads,2,C,9,None
09:43:57 27Jan2020,TSMD10,0643,chunk5,FA1,2225833-2226779,0.946,cds,3,C,7,None
09:54:59 27Jan2020,TSMD10,0643,chunk38,FA2,26199560-26199872,0.312,ads,0,A,4,None
09:54:45 27Jan2020,TSMD10,0643,chunk38,FA2,26183162-26183628,0.466,ads,2,A,4,None
09:54:34 27Jan2020,TSMD10,0643,chunk38,FA2,26161988-26162780,0.792,cds,3,A,5,None
09:54:40 27Jan2020,TSMD10,0643,chunk38,FA2,26166056-26166616,0.56,ads,2,A,4,None
09:54:54 27Jan2020,TSMD10,0643,chunk38,FA2,26191240-26192624,1.384,cds,2,A,7,None
09:54:26 27Jan2020,TSMD10,0643,chunk38,FA1,26186810-26187708,0.898,cds,3,C,5,None
09:47:51 27Jan2020,TSMD10,0643,chunk23,FA1,16625000-16625952,0.952,ads,3,C,8,None
09:48:15 27Jan2020,TSMD10,0643,chunk23,FA1,16631309-16634177,2.868,ads,4,C,10,None
09:48:03 27Jan2020,TSMD10,0643,chunk23,FA1,16627528-16629715,2.187,ads,3,C,7,None
