Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
12:18:19 17Jan2020,TSMA10,0643,chunk19,FA2,14331953-14335836,3.883,unlabeled,2,0,3,0,0,C,24,None
12:20:51 17Jan2020,TSMA10,0643,chunk36,FA2,21448917-21449845,0.928,unlabeled,4,0,0,0,2,A,10,None
12:20:19 17Jan2020,TSMA10,0643,chunk30,FA1,20518422-20520287,1.865,unlabeled,4,2,4,4,2,C,20,None
12:20:37 17Jan2020,TSMA10,0643,chunk32,FA1,20648000-20648686,0.686,unlabeled,3,2,2,0,4,C,14,None
12:12:39 17Jan2020,TSMA10,0643,chunk4,FA1,2151402-2152381,0.979,unlabeled,4,2,0,2,3,C,40,None
12:13:06 17Jan2020,TSMA10,0643,chunk4,FA1,2175929-2177029,1.1,unlabeled,4,2,0,1,3,C,22,None
12:28:44 17Jan2020,TSMA10,0643,chunk51,FA1,30552436-30554260,1.824,unlabeled,2,1,1,1,1,A,14,None
12:28:29 17Jan2020,TSMA10,0643,chunk51,FA1,30536680-30539238,2.558,unlabeled,3,0,3,2,2,A,14,None
12:28:56 17Jan2020,TSMA10,0643,chunk51,FA1,30555748-30556070,0.322,unlabeled,2,0,0,0,2,A,11,None
12:28:11 17Jan2020,TSMA10,0643,chunk50,FA1,29955716-29956736,1.02,unlabeled,3,1,3,2,0,A,10,None
12:13:55 17Jan2020,TSMA10,0643,chunk9,FA2,5197156-5197796,0.64,unlabeled,4,2,3,3,2,T,24,None
12:11:02 17Jan2020,TSMA10,0643,chunk2,FA1,2016491-2017690,1.199,unlabeled,0,2,2,1,2,C,27,None
12:11:42 17Jan2020,TSMA10,0643,chunk2,FA1,2059578-2060477,0.899,unlabeled,4,2,0,2,2,C,29,None
12:10:31 17Jan2020,TSMA10,0643,chunk1,FA1,1970580-1971675,1.095,unlabeled,3,0,1,1,0,C,29,None
12:13:28 17Jan2020,TSMA10,0643,chunk5,FA1,2225833-2226779,0.946,unlabeled,3,0,0,2,0,C,19,None
12:22:18 17Jan2020,TSMA10,0643,chunk38,FA2,26199560-26199872,0.312,unlabeled,4,0,0,0,2,A,11,None
12:21:51 17Jan2020,TSMA10,0643,chunk38,FA2,26183162-26183628,0.466,unlabeled,4,0,4,4,1,A,12,None
12:21:19 17Jan2020,TSMA10,0643,chunk38,FA2,26161988-26162780,0.792,unlabeled,4,2,1,1,3,A,12,None
12:21:38 17Jan2020,TSMA10,0643,chunk38,FA2,26166056-26166616,0.56,unlabeled,4,2,2,2,2,A,18,None
12:22:06 17Jan2020,TSMA10,0643,chunk38,FA2,26191240-26192624,1.384,unlabeled,4,0,0,0,1,A,13,None
12:21:04 17Jan2020,TSMA10,0643,chunk38,FA1,26186810-26187708,0.898,unlabeled,4,0,4,2,0,C,10,None
12:18:42 17Jan2020,TSMA10,0643,chunk23,FA1,16625000-16625952,0.952,unlabeled,4,1,0,0,0,C,19,None
12:19:21 17Jan2020,TSMA10,0643,chunk23,FA1,16631309-16634177,2.868,unlabeled,3,1,0,0,3,C,19,None
12:19:01 17Jan2020,TSMA10,0643,chunk23,FA1,16627528-16629715,2.187,unlabeled,4,1,0,1,3,C,18,None
12:19:47 17Jan2020,TSMA10,0643,chunk23,FA1,16647405-16648714,1.309,unlabeled,4,0,0,0,2,C,10,None
12:19:36 17Jan2020,TSMA10,0643,chunk23,FA1,16635372-16635975,0.603,unlabeled,4,3,1,0,3,C,12,None
